,loss
0,0.11947503125339339
1,0.03321602357177537
2,0.024958344903036715
3,4.721992143359086e-05
4,0.07840663633477116
5,0.11136955055547866
6,0.1345735953875553
7,0.0763265185239864
8,0.40500883858635167
9,0.018326200510443525
10,5.9042795670714836e-05
11,0.0006846514446550347
12,0.15395168663861
13,0.2264573071580763
14,0.012307168224797198
15,0.04614815739180837
16,0.07353306883633534
17,0.08476871011325088
18,0.1025885021331355
19,0.08129391714347403
20,0.38309465817976895
21,0.036910704604048036
22,0.1644134162940295
23,0.0164787259095667
24,0.09707409484951253
25,0.0840671141203986
26,0.2747258875846486
27,0.048687051903096135
28,0.021931981273606974
29,0.11491380517326685
30,0.03517558418894383
31,0.11524688172395817
32,0.03367758411072554
33,0.34702810014855323
34,0.24696248569571183
35,0.11326853161066983
36,0.054641563469523646
37,0.034438027478320817
38,0.3913742028223126
39,0.09148584625885886
40,0.08483448923779387
41,0.052559479370705056
42,0.2364544533345397
43,0.1103452119804632
44,0.12140674333295685
45,0.3207453207577585
46,0.0033694092770193626
47,0.040913171663334115
48,0.12641980534469127
49,0.06129341393994736
50,0.017070616695386925
51,0.11487520122118192
52,0.2640311320480952
53,0.0027043542098780355
54,0.029138618757791224
55,0.046807069850482184
56,0.001545560458066383
57,0.000933982636227809
58,0.34325962635837215
59,0.025664021685423432
60,0.030530287959449127
61,0.003421312653629221
62,0.055749765413156786
63,0.054017886969587224
64,0.008462870536773276
65,0.26615642625904745
66,0.011783842655337483
67,0.15561612846869435
68,0.25033991192724725
69,0.009515531908397086
70,0.05159958430363393
71,0.08241978881669539
72,0.01156732141179415
73,0.03482465463660976
74,0.03664263757837238
75,0.13111922360416217
76,0.07454353881581605
77,0.0029657239635276743
78,0.0023506207147098767
79,0.023677692778263593
80,0.10069001162155089
81,0.04762875106503091
82,0.011383306977695542
83,0.1916773703821014
84,0.10264359378816842
85,0.022852231441750463
86,0.05734538273414779
87,0.031096736957743894
88,0.24847188233169756
89,0.3408193640606203
90,0.06469472132119294
91,0.00920052731427502
92,0.007430620039814882
93,0.17708994866175787
94,0.22370302056910496
95,0.027665525474841527
96,0.04745875568306031
97,0.00268894223795186
98,0.0399425050803362
99,0.2106600695523202
100,0.15086191913845085
101,0.06779371614279871
102,0.16835356099324378
103,0.20568076584461056
104,0.023731230087844543
105,0.139673070783241
106,0.07944890818831306
107,0.0003779442003044589
108,0.08835006905732311
109,0.04586728224245089
110,0.22652827471151044
111,0.13925154741459553
112,0.02883388894828055
113,0.016266848470810134
114,0.0342941709246275
115,0.03697476733916099
116,0.002962058964419479
117,0.05480917310676059
118,0.005791976757119897
119,0.06088953219787433
120,0.0013543201201245065
121,0.10061505965741238
122,0.10464885515136287
123,0.28654214324395383
124,0.00961802979882187
125,0.0005651002032645282
126,0.005790479640874531
127,0.0024598410695649167
128,0.024569094577689604
129,0.04835262514584059
130,0.18947739066723965
131,0.0029753725862411567
132,0.009141889854087615
133,0.08888281055441118
134,0.00046969516210350776
135,0.02044015671599573
136,0.0018755980142714094
137,0.04847299753753266
138,0.09431377499297852
139,0.011966093615217907
140,0.010486187397061399
141,0.06735262902365251
142,0.10735952442171161
143,0.10343996297435265
144,0.12922011103258213
145,0.013057082338128141
146,0.020406968631775844
147,0.08538284763503429
148,0.024942346119082148
149,0.22244146799650436
150,0.20100027799956643
151,0.029830526563750164
152,0.0021141709264243572
153,0.015658649667758522
154,0.013446994044435182
155,0.018616385402858236
156,0.022615650691936003
157,0.005009952345191328
158,0.07702498568190673
159,0.07023237380214101
160,0.13100527231173875
161,0.22452761773751959
162,0.15263442147239614
163,0.0329624396187241
164,0.05984432628530309
165,0.10530387628398011
166,0.0026851934499763507
167,0.014614219797531898
168,0.107985464766768
169,0.14502151785966952
170,0.019665212948927
171,0.24096650007525283
172,0.22959304451730173
173,0.10912109243284872
174,0.0011838409369446387
175,0.003893677045284825
176,0.00373326983001097
177,0.049007066868617104
178,0.0001995186453118052
179,0.12357801353301864
180,0.08133900435615128
181,0.08424784687585438
182,0.07806278337620644
183,0.21223244822728168
184,0.0017194597503635911
185,0.029159352723923136
186,0.18271967197583378
187,0.17335896410129356
188,0.03345778261407601
189,0.06992631392523778
190,0.041241721312865784
191,0.16813979789937675
192,0.07101917672102906
193,0.006171333619052761
194,0.0027145675209782364
195,0.10976866554178429
196,0.0505229425699141
197,0.013159998805880048
198,0.1520665335292866
199,0.013639734983402499
200,0.002879223629589968
201,0.05357000535050719
202,0.1093327622731468
203,0.03665282099924519
204,0.013565295639340735
205,0.0694731701504739
206,0.0027735936510317923
207,0.08708230646053446
208,0.08023901017412899
209,0.036494575884265266
210,0.01803903997923292
211,0.045508144815314046
212,0.1976465325734504
213,0.01467699912180184
214,0.0317015121773258
215,0.20100486261220324
216,0.009307127939892216
217,0.08268696434563501
218,0.040434524769416634
219,0.25879504343690146
220,0.02318075965487126
221,0.0008666076385496831
222,0.17766973880143658
223,0.03367529755609823
224,0.017793736199008914
225,0.22786099330343051
226,0.12047679516306467
227,0.2045281666480529
228,0.1449364460377803
229,0.1105635740681593
230,0.0021832594412642395
231,0.03790339214001884
232,0.002483290376270035
233,0.011904581666141459
234,0.0005985084204354486
235,0.008635533915786682
236,0.009577298171346784
237,0.018799092295517385
238,0.09145981661021284
239,0.13104742132466632
240,0.09203075615390055
241,0.1002577181887628
242,0.08454188521096047
243,0.07200593523946831
244,0.05102688956491881
245,0.0018954630467344464
246,0.22322192792785392
247,0.11726669750137586
248,0.10805419850916317
249,0.005973709057989295
250,0.08243646739315001
251,0.007530101871262694
252,9.774269710792836e-05
253,0.02500634175791751
254,0.016567277178851116
255,0.08047284194199555
256,0.04639034311538107
257,0.0524458235153767
258,0.07536039712469922
259,0.18062513695546872
260,0.01781505207312062
261,0.0766541848473483
262,0.06085767133533268
263,0.05506063240897679
264,0.05645955970606754
265,0.19419568090535586
266,0.002003096775057074
267,0.00014404398084439515
268,0.01864571689377568
269,0.007161562927951319
270,0.05528580181764415
271,0.010143205793246068
272,0.025183782569428548
273,0.1191806301476363
274,0.02243609690686863
275,0.06687266927001537
276,0.02076301092284211
277,0.020269421265621024
278,0.00531176363049781
279,0.05830849384201612
280,0.004051248315785322
281,0.045823484497271375
282,0.0020515704606922265
283,0.06989294428182745
284,0.10819304971530226
285,0.04060067108238089
286,0.007172153343055279
287,0.042246207314825215
288,0.07689323621477406
289,0.0012402096736204514
290,0.0010688934010517977
291,0.013263981688436332
292,0.004132926301479112
293,0.00014564804387699696
294,0.034261328857224445
295,0.017053189734871355
296,0.00393322027111036
297,0.027774436521465096
298,0.06944924689616418
299,0.08701891575920397
300,0.002233736067005183
301,0.025217604220226685
302,0.02314881791870277
303,0.09157215103579394
304,0.14874251279410367
305,0.04107997388897575
306,0.08041449859348462
307,0.014515940896710437
308,0.05171464203089399
309,0.06914840059075182
310,0.007428202333072849
311,0.0445272256519371
312,0.053775996298374394
313,0.04767777408299956
314,0.032944593527961315
315,0.048268589943412044
316,0.10379990928169863
317,0.13839163411317032
318,0.07311208244456706
319,0.0822304621513672
320,0.0377357940187088
321,1.3343028154769322e-05
322,0.003390373477510444
323,0.010252283821609667
324,0.026163928634205424
325,0.0460683317431226
326,0.09888038907969136
327,7.980384529314171e-05
328,0.05134431549207619
329,0.0012884366815268061
330,0.0074123822322877935
331,0.09012117947099295
332,0.007167206368170104
333,0.14771302124538968
334,0.02768582981367639
335,1.3582077477262227e-05
336,0.009065105744041351
337,0.004405993635360788
338,0.0067521563381556324
339,0.09508032546148888
340,0.042466553543268934
341,0.017704768076460802
342,0.012673212085547784
343,0.06971176466337149
344,0.0013683003809086742
345,0.013105745650785353
346,0.02537830144182183
347,0.0029106339756371584
348,0.00011153716042883096
349,0.03139592116599932
350,0.016546965358763464
351,0.048924048829625075
352,1.1542764578631106e-06
353,0.02271692149614152
354,2.1397915834282725e-05
355,0.03357266569644516
356,0.01414961707721646
357,0.012535231765730296
358,0.017832330355856907
359,0.0666377666941894
360,0.034369254564001084
361,0.0004362295654604259
362,0.050388465289828266
363,0.010056600163559415
364,0.010687105198970577
365,0.0008534603399804341
366,0.015712222212683317
367,0.00883498558921005
368,0.032613992298825396
369,0.0687610352783247
370,0.0032502374180534287
371,0.00032214710281987057
372,0.04380848871721287
373,0.051039223856818895
374,1.1802961072647585e-06
375,0.0004786969426027048
376,0.018048806544675663
377,0.030858266403023374
378,0.014742781246611176
379,0.0373551872214382
380,0.17279658938297998
381,0.0008836102216963282
382,0.052592653789503875
383,0.06299643819782416
384,0.014513331924049631
385,9.938571029415318e-05
386,0.12364100846567022
387,0.00970683449535529
388,0.004304731184745834
389,0.01905932825746618
390,0.08275159780756387
391,0.010479259947230623
392,0.0797250039378268
393,0.00012201621499390388
394,0.012189533716357701
395,0.016461227578044694
396,0.006333554708106523
397,0.03122292500061331
398,0.007085474659641312
399,0.0028871369536154685
400,0.0032748364517397443
401,0.006744204477103676
402,0.008661660439115659
403,0.00023622643165096098
404,0.0240342531953013
